ANNO,TRIMESTRE,MES_DEL_TRIMESTRE,ID_EMPRESA,EMPRESA,TRAFICO
2013,3,3,900092385,UNE EPM TELECOMUNICACIONES S.A. E.S.P. - UNE EPM TELCO S.A.,460163521
2013,3,3,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,1173721726
2013,3,3,830114921,COLOMBIA MOVIL S.A. E.S.P.,1264584864
2013,3,3,800153993,COMUNICACION CELULAR S A COMCEL S A,2451728015
2013,4,1,900092385,UNE EPM TELECOMUNICACIONES S.A. E.S.P. - UNE EPM TELCO S.A.,480301891
2013,4,1,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,1259940901
2013,4,1,830114921,COLOMBIA MOVIL S.A. E.S.P.,1130616402
2013,4,1,800153993,COMUNICACION CELULAR S A COMCEL S A,2694465092
2013,4,1,899999115,EMPRESA DE TELECOMUNICACIONES DE BOGOT� S.A. ESP.,29629605
2013,4,2,900092385,UNE EPM TELECOMUNICACIONES S.A. E.S.P. - UNE EPM TELCO S.A.,526354167
2013,4,2,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,1294252658
2013,4,2,830114921,COLOMBIA MOVIL S.A. E.S.P.,1070314370
2013,4,2,800153993,COMUNICACION CELULAR S A COMCEL S A,2729851843
2013,4,3,900092385,UNE EPM TELECOMUNICACIONES S.A. E.S.P. - UNE EPM TELCO S.A.,529104806
2013,4,3,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,1317879621
2013,4,3,830114921,COLOMBIA MOVIL S.A. E.S.P.,1104816724
2013,4,3,800153993,COMUNICACION CELULAR S A COMCEL S A,2884994376
2014,1,1,900092385,UNE EPM TELECOMUNICACIONES S.A. E.S.P. - UNE EPM TELCO S.A.,822905342
2014,1,1,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,1335014506
2014,1,1,830114921,COLOMBIA MOVIL S.A. E.S.P.,1108871601
2014,1,1,800153993,COMUNICACION CELULAR S A COMCEL S A,3103591125
2014,1,1,899999115,EMPRESA DE TELECOMUNICACIONES DE BOGOT� S.A. ESP.,27078000
2014,1,2,900092385,UNE EPM TELECOMUNICACIONES S.A. E.S.P. - UNE EPM TELCO S.A.,812033057
2014,1,2,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,1339772020
2014,1,2,830114921,COLOMBIA MOVIL S.A. E.S.P.,1047109909
2014,1,2,800153993,COMUNICACION CELULAR S A COMCEL S A,2965008341
2014,1,3,900092385,UNE EPM TELECOMUNICACIONES S.A. E.S.P. - UNE EPM TELCO S.A.,898662451
2014,1,3,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,1582108490
2014,1,3,830114921,COLOMBIA MOVIL S.A. E.S.P.,1017752357
2014,1,3,800153993,COMUNICACION CELULAR S A COMCEL S A,3385555393
2014,2,1,900092385,UNE EPM TELECOMUNICACIONES S.A. E.S.P. - UNE EPM TELCO S.A.,706832272
2014,2,1,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,1548051957
2014,2,1,830114921,COLOMBIA MOVIL S.A. E.S.P.,1189246565
2014,2,1,800153993,COMUNICACION CELULAR S A COMCEL S A,3437291380
2014,2,1,899999115,EMPRESA DE TELECOMUNICACIONES DE BOGOT� S.A. ESP.,28297426
2014,2,2,900092385,UNE EPM TELECOMUNICACIONES S.A. E.S.P. - UNE EPM TELCO S.A.,1154376926
2014,2,2,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,1709295932
2014,2,2,830114921,COLOMBIA MOVIL S.A. E.S.P.,1155183849
2014,2,2,800153993,COMUNICACION CELULAR S A COMCEL S A,3536709214
2014,2,3,900092385,UNE EPM TELECOMUNICACIONES S.A. E.S.P. - UNE EPM TELCO S.A.,1239848823
2014,2,3,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,1719862930
2014,2,3,830114921,COLOMBIA MOVIL S.A. E.S.P.,1308229854
2014,2,3,800153993,COMUNICACION CELULAR S A COMCEL S A,3678142834
2014,3,1,900092385,UNE EPM TELECOMUNICACIONES S.A. E.S.P. - UNE EPM TELCO S.A.,984509893
2014,3,1,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,1770557186
2014,3,1,830114921,COLOMBIA MOVIL S.A. E.S.P.,1390414335
2014,3,1,800153993,COMUNICACION CELULAR S A COMCEL S A,3889303029
2014,3,1,899999115,EMPRESA DE TELECOMUNICACIONES DE BOGOT� S.A. ESP.,26225089
2014,3,2,830016046,AVANTEL S.A.S.,49724
2014,3,2,900092385,UNE EPM TELECOMUNICACIONES S.A. E.S.P. - UNE EPM TELCO S.A.,918798762
2014,3,2,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,1834932563
2014,3,2,830114921,COLOMBIA MOVIL S.A. E.S.P.,1144129885
2014,3,2,800153993,COMUNICACION CELULAR S A COMCEL S A,3939304990
2014,3,3,830016046,AVANTEL S.A.S.,1008269
2014,3,3,900092385,UNE EPM TELECOMUNICACIONES S.A. E.S.P. - UNE EPM TELCO S.A.,1293476084
2014,3,3,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,1835845634
2014,3,3,830114921,COLOMBIA MOVIL S.A. E.S.P.,1324153589
2014,3,3,800153993,COMUNICACION CELULAR S A COMCEL S A,3930997390
2014,4,1,830016046,AVANTEL S.A.S.,3211750
2014,4,1,900092385,UNE EPM TELECOMUNICACIONES S.A. E.S.P. - UNE EPM TELCO S.A.,1528022767
2014,4,1,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,1935468147
2014,4,1,830114921,COLOMBIA MOVIL S.A. E.S.P.,1470784982
2014,4,1,800153993,COMUNICACION CELULAR S A COMCEL S A,4009286876
2014,4,1,899999115,EMPRESA DE TELECOMUNICACIONES DE BOGOT� S.A. ESP.,585573242
2014,4,2,830016046,AVANTEL S.A.S.,5565250
2014,4,2,900092385,UNE EPM TELECOMUNICACIONES S.A. E.S.P. - UNE EPM TELCO S.A.,1539957035
2014,4,2,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,1912153867
2014,4,2,830114921,COLOMBIA MOVIL S.A. E.S.P.,1453120695
2014,4,2,800153993,COMUNICACION CELULAR S A COMCEL S A,4007425071
2014,4,3,830016046,AVANTEL S.A.S.,9896455
2014,4,3,900092385,UNE EPM TELECOMUNICACIONES S.A. E.S.P. - UNE EPM TELCO S.A.,1499206542
2014,4,3,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,2072562160
2014,4,3,830114921,COLOMBIA MOVIL S.A. E.S.P.,1536758821
2014,4,3,800153993,COMUNICACION CELULAR S A COMCEL S A,4057040108
2015,1,1,830016046,AVANTEL S.A.S.,14164726
2015,1,1,900092385,UNE EPM TELECOMUNICACIONES S.A. E.S.P. - UNE EPM TELCO S.A.,1434336509
2015,1,1,900420122,VIRGIN MOBILE COLOMBIA S.A.S.,0
2015,1,1,830114921,COLOMBIA MOVIL S.A. E.S.P.,1519221987
2015,1,1,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,2155071062
2015,1,1,899999115,EMPRESA DE TELECOMUNICACIONES DE BOGOT� S.A. ESP.,40078388
2015,1,1,800153993,COMUNICACION CELULAR S A COMCEL S A,5233684949
2015,1,2,800153993,COMUNICACION CELULAR S A COMCEL S A,5083341815
2015,1,2,830016046,AVANTEL S.A.S.,16901812
2015,1,2,900092385,UNE EPM TELECOMUNICACIONES S.A. E.S.P. - UNE EPM TELCO S.A.,1316642957
2015,1,2,900420122,VIRGIN MOBILE COLOMBIA S.A.S.,0
2015,1,2,830114921,COLOMBIA MOVIL S.A. E.S.P.,1542129545
2015,1,2,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,2169246421
2015,1,2,899999115,EMPRESA DE TELECOMUNICACIONES DE BOGOT� S.A. ESP.,63487604
2015,1,3,800153993,COMUNICACION CELULAR S A COMCEL S A,6129900484
2015,1,3,830016046,AVANTEL S.A.S.,21810391
2015,1,3,900092385,UNE EPM TELECOMUNICACIONES S.A. E.S.P. - UNE EPM TELCO S.A.,1470032135
2015,1,3,900420122,VIRGIN MOBILE COLOMBIA S.A.S.,0
2015,1,3,830114921,COLOMBIA MOVIL S.A. E.S.P.,1485932477
2015,1,3,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,2467425053
2015,1,3,899999115,EMPRESA DE TELECOMUNICACIONES DE BOGOT� S.A. ESP.,100772333
2015,2,1,800153993,COMUNICACION CELULAR S A COMCEL S A,6313156751
2015,2,1,830114921,COLOMBIA MOVIL S.A. E.S.P.,1437957850
2015,2,1,900420122,VIRGIN MOBILE COLOMBIA S.A.S.,0
2015,2,1,899999115,EMPRESA DE TELECOMUNICACIONES DE BOGOT� S.A. ESP.,129613458
2015,2,1,900092385,UNE EPM TELECOMUNICACIONES S.A. E.S.P. - UNE EPM TELCO S.A.,1447344847
2015,2,1,830016046,AVANTEL S.A.S.,46281720
2015,2,1,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,2390166650
2015,2,2,800153993,COMUNICACION CELULAR S A COMCEL S A,6381532486
2015,2,2,830114921,COLOMBIA MOVIL S.A. E.S.P.,1585640571
2015,2,2,900420122,VIRGIN MOBILE COLOMBIA S.A.S.,0
2015,2,2,899999115,EMPRESA DE TELECOMUNICACIONES DE BOGOT� S.A. ESP.,170658992
2015,2,2,900092385,UNE EPM TELECOMUNICACIONES S.A. E.S.P. - UNE EPM TELCO S.A.,1438871674
2015,2,2,830016046,AVANTEL S.A.S.,62561103
2015,2,2,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,2533562917
2015,2,3,830114921,COLOMBIA MOVIL S.A. E.S.P.,1667602153
2015,2,3,900420122,VIRGIN MOBILE COLOMBIA S.A.S.,0
2015,2,3,899999115,EMPRESA DE TELECOMUNICACIONES DE BOGOT� S.A. ESP.,183841154
2015,2,3,900092385,UNE EPM TELECOMUNICACIONES S.A. E.S.P. - UNE EPM TELCO S.A.,1388978994
2015,2,3,830016046,AVANTEL S.A.S.,67848778
2015,2,3,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,2429196478
2015,2,3,800153993,COMUNICACION CELULAR S A COMCEL S A,6530797827
2015,3,1,900092385,UNE EPM TELECOMUNICACIONES S.A. E.S.P. - UNE EPM TELCO S.A.,1438004821
2015,3,1,830016046,AVANTEL S.A.S.,60317016
2015,3,1,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,2463100110
2015,3,1,899999115,EMPRESA DE TELECOMUNICACIONES DE BOGOT� S.A. ESP.,201559005
2015,3,1,830114921,COLOMBIA MOVIL S.A. E.S.P.,1843008149
2015,3,1,900420122,VIRGIN MOBILE COLOMBIA S.A.S.,0
2015,3,1,800153993,COMUNICACION CELULAR S A COMCEL S A,7120931054
2015,3,2,900092385,UNE EPM TELECOMUNICACIONES S.A. E.S.P. - UNE EPM TELCO S.A.,1402876812
2015,3,2,830016046,AVANTEL S.A.S.,74509314
2015,3,2,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,2576751610
2015,3,2,899999115,EMPRESA DE TELECOMUNICACIONES DE BOGOT� S.A. ESP.,207668619
2015,3,2,830114921,COLOMBIA MOVIL S.A. E.S.P.,1748517495
2015,3,2,900420122,VIRGIN MOBILE COLOMBIA S.A.S.,0
2015,3,2,800153993,COMUNICACION CELULAR S A COMCEL S A,7195972644
2015,3,3,900092385,UNE EPM TELECOMUNICACIONES S.A. E.S.P. - UNE EPM TELCO S.A.,1296817892
2015,3,3,830016046,AVANTEL S.A.S.,75193044
2015,3,3,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,2493278405
2015,3,3,899999115,EMPRESA DE TELECOMUNICACIONES DE BOGOT� S.A. ESP.,207369936
2015,3,3,830114921,COLOMBIA MOVIL S.A. E.S.P.,1854713034
2015,3,3,900420122,VIRGIN MOBILE COLOMBIA S.A.S.,0
2015,3,3,800153993,COMUNICACION CELULAR S A COMCEL S A,6729405872
2015,4,1,830016046,AVANTEL S.A.S.,100612974
2015,4,1,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,2759143423
2015,4,1,899999115,EMPRESA DE TELECOMUNICACIONES DE BOGOT� S.A. ESP.,282993042
2015,4,1,900092385,UNE EPM TELECOMUNICACIONES S.A. E.S.P. - UNE EPM TELCO S.A.,1350106996
2015,4,1,900420122,VIRGIN MOBILE COLOMBIA S.A.S.,0
2015,4,1,830114921,COLOMBIA MOVIL S.A. E.S.P.,1866951558
2015,4,1,800153993,COMUNICACION CELULAR S A COMCEL S A,8244346680
2015,4,2,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,2743323207
2015,4,2,899999115,EMPRESA DE TELECOMUNICACIONES DE BOGOT� S.A. ESP.,290366624
2015,4,2,900092385,UNE EPM TELECOMUNICACIONES S.A. E.S.P. - UNE EPM TELCO S.A.,1263165153
2015,4,2,900420122,VIRGIN MOBILE COLOMBIA S.A.S.,0
2015,4,2,830114921,COLOMBIA MOVIL S.A. E.S.P.,1856123046
2015,4,2,800153993,COMUNICACION CELULAR S A COMCEL S A,8252713813
2015,4,2,830016046,AVANTEL S.A.S.,108988458
2015,4,3,800153993,COMUNICACION CELULAR S A COMCEL S A,9185180747
2015,4,3,830016046,AVANTEL S.A.S.,112024387
2015,4,3,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,2914122389
2015,4,3,899999115,EMPRESA DE TELECOMUNICACIONES DE BOGOT� S.A. ESP.,308397104
2015,4,3,900092385,UNE EPM TELECOMUNICACIONES S.A. E.S.P. - UNE EPM TELCO S.A.,1151403457
2015,4,3,900420122,VIRGIN MOBILE COLOMBIA S.A.S.,0
2015,4,3,830114921,COLOMBIA MOVIL S.A. E.S.P.,1947705206
2016,1,1,900420122,VIRGIN MOBILE COLOMBIA S.A.S.,0
2016,1,1,800153993,COMUNICACION CELULAR S A COMCEL S A,7453807537
2016,1,1,830114921,COLOMBIA MOVIL S.A. E.S.P.,1834198638
2016,1,1,900092385,UNE EPM TELECOMUNICACIONES S.A. E.S.P. - UNE EPM TELCO S.A.,1067673814
2016,1,1,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,2896882647
2016,1,1,899999115,EMPRESA DE TELECOMUNICACIONES DE BOGOT� S.A. ESP.,313694192
2016,1,1,830016046,AVANTEL S.A.S.,187983965
2016,1,2,830114921,COLOMBIA MOVIL S.A. E.S.P.,1946141967
2016,1,2,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,2786439962
2016,1,2,830016046,AVANTEL S.A.S.,177683104
2016,1,2,899999115,EMPRESA DE TELECOMUNICACIONES DE BOGOT� S.A. ESP.,302646164
2016,1,2,900092385,UNE EPM TELECOMUNICACIONES S.A. E.S.P. - UNE EPM TELCO S.A.,784698787
2016,1,2,800153993,COMUNICACION CELULAR S A COMCEL S A,7404769130
2016,1,2,900420122,VIRGIN MOBILE COLOMBIA S.A.S.,0
2016,1,3,830016046,AVANTEL S.A.S.,205956819
2016,1,3,900092385,UNE EPM TELECOMUNICACIONES S.A. E.S.P. - UNE EPM TELCO S.A.,730505049
2016,1,3,830114921,COLOMBIA MOVIL S.A. E.S.P.,2155330301
2016,1,3,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,3120948036
2016,1,3,900420122,VIRGIN MOBILE COLOMBIA S.A.S.,0
2016,1,3,899999115,EMPRESA DE TELECOMUNICACIONES DE BOGOT� S.A. ESP.,369957944
2016,1,3,800153993,COMUNICACION CELULAR S A COMCEL S A,8370576199
2016,2,1,900092385,UNE EPM TELECOMUNICACIONES S.A. E.S.P. - UNE EPM TELCO S.A.,661713670
2016,2,1,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,3026082204
2016,2,1,830016046,AVANTEL S.A.S.,195619034
2016,2,1,830114921,COLOMBIA MOVIL S.A. E.S.P.,2199176615
2016,2,1,900420122,VIRGIN MOBILE COLOMBIA S.A.S.,0
2016,2,1,899999115,EMPRESA DE TELECOMUNICACIONES DE BOGOT� S.A. ESP.,373746539
2016,2,1,800153993,COMUNICACION CELULAR S A COMCEL S A,8664328977
2016,2,2,800153993,COMUNICACION CELULAR S A COMCEL S A,9497405317
2016,2,2,900092385,UNE EPM TELECOMUNICACIONES S.A. E.S.P. - UNE EPM TELCO S.A.,619333695
2016,2,2,900420122,VIRGIN MOBILE COLOMBIA S.A.S.,0
2016,2,2,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,3384845330
2016,2,2,830016046,AVANTEL S.A.S.,188953123
2016,2,2,899999115,EMPRESA DE TELECOMUNICACIONES DE BOGOT� S.A. ESP.,442800971
2016,2,2,830114921,COLOMBIA MOVIL S.A. E.S.P.,2308026382
2016,2,3,900420122,VIRGIN MOBILE COLOMBIA S.A.S.,0
2016,2,3,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,3255178545
2016,2,3,830114921,COLOMBIA MOVIL S.A. E.S.P.,2334042656
2016,2,3,900092385,UNE EPM TELECOMUNICACIONES S.A. E.S.P. - UNE EPM TELCO S.A.,565204278
2016,2,3,830016046,AVANTEL S.A.S.,201021903
2016,2,3,899999115,EMPRESA DE TELECOMUNICACIONES DE BOGOT� S.A. ESP.,437059769
2016,2,3,800153993,COMUNICACION CELULAR S A COMCEL S A,9482342042
2016,3,1,900420122,VIRGIN MOBILE COLOMBIA S.A.S.,0
2016,3,1,800153993,COMUNICACION CELULAR S A COMCEL S A,9665092612
2016,3,1,900092385,UNE EPM TELECOMUNICACIONES S.A. E.S.P. - UNE EPM TELCO S.A.,568990006
2016,3,1,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,3451061830
2016,3,1,830114921,COLOMBIA MOVIL S.A. E.S.P.,1988779828
2016,3,1,899999115,EMPRESA DE TELECOMUNICACIONES DE BOGOT� S.A. ESP.,485323906
2016,3,1,830016046,AVANTEL S.A.S.,336648005
2016,3,2,830016046,AVANTEL S.A.S.,382093647
2016,3,2,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,3549488849
2016,3,2,900092385,UNE EPM TELECOMUNICACIONES S.A. E.S.P. - UNE EPM TELCO S.A.,502939779
2016,3,2,830114921,COLOMBIA MOVIL S.A. E.S.P.,2422595394
2016,3,2,800153993,COMUNICACION CELULAR S A COMCEL S A,9105781910
2016,3,2,899999115,EMPRESA DE TELECOMUNICACIONES DE BOGOT� S.A. ESP.,569264416
2016,3,2,900420122,VIRGIN MOBILE COLOMBIA S.A.S.,0
2016,3,3,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,3500845212
2016,3,3,900092385,UNE EPM TELECOMUNICACIONES S.A. E.S.P. - UNE EPM TELCO S.A.,393488663
2016,3,3,899999115,EMPRESA DE TELECOMUNICACIONES DE BOGOT� S.A. ESP.,585959303
2016,3,3,800153993,COMUNICACION CELULAR S A COMCEL S A,9358776519
2016,3,3,830114921,COLOMBIA MOVIL S.A. E.S.P.,2483818192
2016,3,3,900420122,VIRGIN MOBILE COLOMBIA S.A.S.,0
2016,3,3,830016046,AVANTEL S.A.S.,470266319
2016,4,1,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,3993052001
2016,4,1,830016046,AVANTEL S.A.S.,526665789
2016,4,1,900420122,VIRGIN MOBILE COLOMBIA S.A.S.,0
2016,4,1,830114921,COLOMBIA MOVIL S.A. E.S.P.,2693852065
2016,4,1,900092385,UNE EPM TELECOMUNICACIONES S.A. E.S.P. - UNE EPM TELCO S.A.,264761109
2016,4,1,899999115,EMPRESA DE TELECOMUNICACIONES DE BOGOT� S.A. ESP.,561963482
2016,4,1,800153993,COMUNICACION CELULAR S A COMCEL S A,9983083068
2016,4,2,900092385,UNE EPM TELECOMUNICACIONES S.A. E.S.P. - UNE EPM TELCO S.A.,69731678
2016,4,2,800153993,COMUNICACION CELULAR S A COMCEL S A,9735789125
2016,4,2,830016046,AVANTEL S.A.S.,534098091
2016,4,2,830114921,COLOMBIA MOVIL S.A. E.S.P.,2802415793
2016,4,2,900420122,VIRGIN MOBILE COLOMBIA S.A.S.,0
2016,4,2,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,4150221213
2016,4,2,899999115,EMPRESA DE TELECOMUNICACIONES DE BOGOT� S.A. ESP.,499853383
2016,4,3,900092385,UNE EPM TELECOMUNICACIONES S.A. E.S.P. - UNE EPM TELCO S.A.,30784988
2016,4,3,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,4871407954
2016,4,3,830016046,AVANTEL S.A.S.,545635455
2016,4,3,830114921,COLOMBIA MOVIL S.A. E.S.P.,3389200462
2016,4,3,900420122,VIRGIN MOBILE COLOMBIA S.A.S.,0
2016,4,3,899999115,EMPRESA DE TELECOMUNICACIONES DE BOGOT� S.A. ESP.,452143001
2016,4,3,800153993,COMUNICACION CELULAR S A COMCEL S A,10670789052
2017,1,1,899999115,EMPRESA DE TELECOMUNICACIONES DE BOGOT� S.A. ESP.,409369275
2017,1,1,830114921,COLOMBIA MOVIL S.A. E.S.P.,3322067581
2017,1,1,800153993,COMUNICACION CELULAR S A COMCEL S A,10679613871
2017,1,1,900420122,VIRGIN MOBILE COLOMBIA S.A.S.,0
2017,1,1,900092385,UNE EPM TELECOMUNICACIONES S.A. E.S.P. - UNE EPM TELCO S.A.,17672184
2017,1,1,830016046,AVANTEL S.A.S.,552970220
2017,1,1,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,5085560800
